iter	Passed	Remaining
826	2847	595
827	2849	591
828	2851	588
829	2853	584
830	2856	581
831	2858	577
832	2860	573
833	2862	569
834	2864	566
835	2866	562
836	2868	558
837	2871	555
838	2873	551
839	2877	548
840	2880	544
841	2885	541
842	2888	538
843	2891	534
844	2894	530
845	2896	527
846	2898	523
847	2902	520
848	2905	516
849	2907	513
850	2910	509
851	2913	506
852	2916	502
853	2918	498
854	2921	495
855	2926	492
856	2933	489
857	2936	486
858	2939	482
859	2941	478
860	2944	475
861	2947	471
862	2951	468
863	2954	465
864	2958	461
865	2963	458
866	2965	454
867	2967	451
868	2971	447
869	2975	444
870	2978	441
871	2981	437
872	2984	434
873	2985	430
874	2988	426
875	2992	423
876	2995	420
877	2999	416
878	3001	413
879	3003	409
880	3007	406
881	3009	402
882	3012	399
883	3013	395
884	3016	391
885	3018	388
886	3022	385
887	3024	381
888	3027	378
889	3030	374
890	3033	371
891	3037	367
892	3040	364
893	3042	360
894	3043	357
895	3045	353
896	3047	349
897	3049	346
898	3052	342
899	3054	339
900	3057	335
901	3059	332
902	3061	328
903	3063	325
904	3067	322
905	3069	318
906	3071	314
907	3073	311
908	3076	308
909	3078	304
910	3082	301
911	3085	297
912	3087	294
913	3089	290
914	3092	287
915	3095	283
916	3098	280
917	3100	276
918	3101	273
919	3105	270
920	3107	266
921	3114	263
922	3116	259
923	3119	256
924	3122	253
925	3124	249
926	3128	246
927	3132	243
928	3136	239
929	3144	236
930	3147	233
931	3151	229
932	3154	226
933	3157	223
934	3160	219
935	3162	216
936	3164	212
937	3166	209
938	3171	206
939	3174	202
940	3176	199
941	3179	195
942	3182	192
943	3186	189
944	3189	185
945	3191	182
946	3193	178
947	3195	175
948	3197	171
949	3199	168
950	3202	165
951	3204	161
952	3206	158
953	3209	154
954	3211	151
955	3214	147
956	3218	144
957	3221	141
958	3224	137
959	3226	134
960	3228	131
961	3232	127
962	3234	124
963	3236	120
964	3239	117
965	3241	114
966	3244	110
967	3247	107
968	3249	103
969	3251	100
970	3253	97
971	3255	93
972	3257	90
973	3272	87
974	3273	83
975	3277	80
976	3280	77
977	3282	73
978	3284	70
979	3286	67
980	3288	63
981	3290	60
982	3293	56
983	3295	53
984	3297	50
985	3300	46
986	3302	43
987	3307	40
988	3310	36
989	3312	33
990	3316	30
991	3319	26
992	3322	23
993	3327	20
994	3331	16
995	3337	13
996	3340	10
997	3343	6
998	3346	3
999	3352	0
